r,rdfalpha,rdfbeta,rdfdelta,rdfgamma,rdfmodul,rdf141s54e05,rdf141s54e1,rdf141s55e1,rdf141s53e35
0,0,0,0,0,0,0,0,0,0
0.0166666667,0,0,0,0,0,0,0,0,0
0.0333333333,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0
0.0666666667,0,0,0,0,0,0,0,0,0
0.0833333333,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0
0.116666667,0,0,0,0,0,0,0,0,0
0.133333333,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0
0.166666667,0,0,0,0,0,0,0,0,0
0.183333333,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0
0.216666667,0,0,0,0,0,0,0,0,0
0.233333333,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0
0.266666667,0,0,0,0,0,0,0,0,0
0.283333333,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0
0.316666667,0,0,0,0,0,0,0,0,0
0.333333333,0,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,0,0,0
0.366666667,0,0,0,0,0,0,0,0,0
0.383333333,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0
0.416666667,0,0,0,0,0,0,0,0,0
0.433333333,0,0,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,0,0,0
0.466666667,0,0,0,0,0,0,0,0,0
0.483333333,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0
0.516666667,0,0,0,0,0,0,0,0,0
0.533333333,0,0,0,0,0,0,0,0,0
0.55,0,0,0,0,0,0,0,0,0
0.566666667,0,0,0,0,0,0,0,0,0
0.583333333,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0,0,0
0.616666667,0,0,0,0,0,0,0,0,0
0.633333333,0,0,0,0,0,0,0,0,0
0.65,0,0,0,0,0,0,0,0,0
0.666666667,0,0,0,0,0,0,0,0,0
0.683333333,0,0,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0,0,0
0.716666667,0,0,0,0,0,0,0,0,0
0.733333333,0,0,0,0,0,0,0,0,0
0.75,0,0,0,0,0,0,0,0,0
0.766666667,0,0,0,0,0,0,0,0,0
0.783333333,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0
0.816666667,0,0,0,0,0,0,0,0,0
0.833333333,0,0,0,0,0,0,0,0,0
0.85,0,0,0,0,0,0,0,0,0
0.866666667,0,0,0,0,0,0,0,0,0
0.883333333,0,0,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0,0,0
0.916666667,0,0,0,0,0,0,0,0,0
0.933333333,0,0,0,0,0,0,0,0,0
0.95,0,0,0,0,0,0,0,0,0
0.966666667,0,0,0,0,0,0,0,0,0
0.983333333,0,0,0,0,0,0,0,0,0
1,0,0,2.3181286,4.79987144,5.62725325,2.3564044,3.38877803,3.04083928,4.32067391
1.01666667,0,0,4.76254359,5.84343832,7.72602542,5.10151213,5.92115807,6.06421755,8.52007647
1.03333333,0,0,4.71657636,3.33394265,3.26894412,4.63911971,5.62330679,5.84889523,6.97963744
1.05,0,0,4.39487868,2.15867698,0.945519799,4.66518035,5.15227389,5.40908145,5.86136708
